workerid,predicate,sentence_type,slide_number,context,utterance,response
0,long,coll,8,regular,heavy,0.66
0,long,dist,8,regular,heavy,0.34
0,long,coll,9,regular,big,0.12
0,long,dist,9,regular,big,0.88
0,long,dist,10,regular,long,0.94
0,long,coll,10,regular,long,0.06
1,long,coll,8,random,heavy,0.82
1,long,dist,8,random,heavy,0.63
1,long,dist,9,random,long,0.32
1,long,coll,9,random,long,0.84
1,long,coll,10,random,big,0.36
1,long,dist,10,random,big,0.9
2,long,dist,8,random,heavy,0.33
2,long,coll,8,random,heavy,0.67
2,long,dist,9,random,long,0.5
2,long,coll,9,random,long,0.47
2,long,coll,10,random,big,0.56
2,long,dist,10,random,big,0.26
3,long,dist,8,regular,heavy,0.49
3,long,coll,8,regular,heavy,0.49
3,long,coll,9,regular,long,0.28
3,long,dist,9,regular,long,0.57
3,long,coll,10,regular,big,0.43
3,long,dist,10,regular,big,0.4
4,long,coll,8,random,long,0.87
4,long,dist,8,random,long,0.15
4,long,coll,9,random,big,0.83
4,long,dist,9,random,big,0.08
4,long,dist,10,random,heavy,0.07
4,long,coll,10,random,heavy,0.89
5,long,coll,8,random,long,0.76
5,long,dist,8,random,long,0.43
5,long,dist,9,random,heavy,0.54
5,long,coll,9,random,heavy,0.8
5,long,dist,10,random,big,0.79
5,long,coll,10,random,big,0.46
6,long,coll,8,random,long,0.02
6,long,dist,8,random,long,0.02
6,long,coll,9,random,heavy,0.51
6,long,dist,9,random,heavy,0.52
6,long,dist,10,random,big,0.03
6,long,coll,10,random,big,0.04
7,long,dist,8,random,big,0.14
7,long,coll,8,random,big,0.84
7,long,coll,9,random,heavy,0.89
7,long,dist,9,random,heavy,0.11
7,long,dist,10,random,long,0.08
7,long,coll,10,random,long,0.74
8,long,dist,8,random,long,0.61
8,long,coll,8,random,long,0.08
8,long,dist,9,random,big,0.96
8,long,coll,9,random,big,0.71
8,long,dist,10,random,heavy,0.97
8,long,coll,10,random,heavy,0.66
